抽奖词	
编号	词语
id	word
1	欢畅
2	昌盛
3	兴隆
4	鸿喜
5	寿祺
6	百福
7	步云
8	宝源
9	宝和
10	存德
11	诚信
12	畅春
13	大发
14	大盛
15	得利
16	道亨
17	鼎泰
18	德和
19	德昌
20	凤和
21	福安
22	福寿
23	福和
24	广远
25	广雅
26	广益
27	观仁
28	观文
29	合盛
30	华盛
31	和祥
32	厚孚
33	厚康
34	恒德
35	恒孚
36	鸿运
37	鸿福
38	鸿源
39	金福
40	聚兴
41	骏兴
42	谦益
43	勤和
44	瑞隆
45	天发
46	天福
47	通顺
48	万顺
49	馨德
50	永盛
51	志成
52	致远
53	百福具臻
54	福寿康宁
55	瑞启德门
56	鸿喜云集
57	鸳鸯茉莉
58	门潭赠庆
59	恭喜发财
60	五谷丰登
61	福齐南山
62	福寿双全
63	福寿年高
64	福惠双修
65	德门积庆
66	升祺骈福
67	潭祉迎祥
68	福祉骈蕃
69	五福齐全
70	三阳开泰
71	祥瑞福辏
72	福禄长久
73	潭祺迪吉
74	华星凝辉
75	万寿无疆
76	紫气东来
77	吉星高照
78	松鹤舞凤
79	美意富贵
80	麻姑酒满
81	金玉满堂
82	日转千阶
83	鱼跃龙门
84	甲第星罗
85	光辉灿烂
86	绿萝
87	富贵荣华
88	雁塔题名
89	饮至策勋
90	云程发韧
91	纡朱怀金
92	快乐养生
93	厚德载物
94	德隆望重
95	冰清玉洁
96	积爱成福
97	为善最乐
98	至诚高节
99	尽忠报国
100	国泰民安
101	室雅人和
102	风顺家兴
103	四海升平
104	民殷国富
105	三色堇
106	风和日暖
107	竹报平安
108	读书万卷
109	励精图志
110	业精于勤
111	耕云种月
112	天道酬勤
113	开卷有益
114	胸怀洒落
115	温恭自虚
116	慎静尚宽
117	澄心清神
118	知足常乐
119	百忍成金
120	太阳花
121	豁达大度
122	怡然自乐
123	睡莲
124	神融笔畅
125	会通古今
126	笔启自然
127	辞富山海
128	迁想秒得
129	思逸神超
130	法贵天真
131	言为心声
132	珠圆玉润
133	珠光宝气
134	春回大地
135	虞美人
136	满园春色
137	梅花数点
138	瑞气盈门
139	普天同庆
140	万物登明
141	物华焕彩
142	春和贻荡
143	春日喧和
144	金缕梅
145	啼莺舞燕
146	高柳垂阴
147	月光花
148	百川归海
149	兰蕙桂馥
150	紫菀
151	龙飞凤舞
152	宁静致远
153	择如时雨
154	星辰花
155	金百合
156	兰秀菊芳
157	浮翠流丹
158	花意竹情
159	汇川纳海
160	兴隆大业
161	宏图大展
162	裕业有孚
163	融通四海
164	壮志凌云
165	木笔
166	群贤毕至
167	大展鸿图
168	积健为雄
169	海纳百川
170	龙藏深泉
171	骏业崇隆
172	陶未媲美
173	石竹花
174	富国利民
175	骏业肇兴
176	凤仙花
177	多财善贾
178	鸿猷大展
179	桔梗花
180	满天星
181	骏业日新
182	源远流长
183	万商云集
184	阳光明媚
185	东风送情
186	德昭邻壑
187	才震四方
188	大富启源
189	莺迁仁里
190	燕贺德邻
191	紫气兆祥
192	百世宏基
193	近悦远来
194	蒸蒸日上
195	合欢花
196	欣欣向荣
197	鼎业维新
198	鸿献大展
199	桃花
200	美轮美奂
201	新基鼎定
202	福地杰人
203	堂构更新
204	秀茁兰芽
205	焕然一新
206	鸿犹大展
207	大吉大利
208	依米花
209	文心兰
210	心想事成
211	吉祥如意
212	吉庆有余
213	年年有余
214	花开富贵
215	银柳
216	招财进宝
217	满堂富贵
218	新昭如意
219	玲兰
220	贺颂春厘
221	海芋
222	茉莉花
223	开岁百福
224	事事顺心
225	万事如意
226	孔雀草
227	岁岁平安
228	一马当先
229	出类拔萃
230	个中翘楚
231	无与伦比
232	超越巅峰
233	劳苦功高
234	卓越干练
235	品资卓越
236	无懈可击
237	成绩斐然
238	敬业乐群
239	业绩辉煌
240	绝伦逸群
241	筚路蓝缕
242	英才得展
243	李花
244	鹏程万里
245	懋绩可风
246	名标金榜
247	才高八斗
248	君子兰
249	名列前芧
250	名冠群伦
251	秋海棠
252	前程万里
